Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal"
252,Po`e (Portulaca sclerocarpa),E,"$226,202","$898,547,212"
253,"Snake, copperbelly water (Nerodia erythrogaster neglecta)MI, OH, IN N of 400 N. Lat.",T,"$225,900","$898,773,112"
254,"Pupfish, Comanche Springs (Cyprinodon elegans)",E,"$225,000","$898,998,112"
255,Asplenium fragile var. insulare (=Sci name),E,"$222,021","$899,220,133"
256,Ocelot (Leopardus (=Felis) pardalis),E,"$221,287","$899,441,420"
257,Stenogyne angustifolia var. angustifolia (=Sci name),E,"$219,702","$899,661,122"
258,Neraudia ovata (=Sci name),E,"$219,352","$899,880,474"
259,Honohono (Haplostachys haplostachya),E,"$218,902","$900,099,376"
260,Kio`ele (Hedyotis coriacea),E,"$218,602","$900,317,978"
261,"Blackbird, yellow-shouldered (Agelaius xanthomus)",E,"$218,349","$900,536,327"
262,Popolo ku mai (Solanum incompletum),E,"$218,102","$900,754,429"
263,Tetramolopium arenarium (=Sci name),E,"$217,702","$900,972,131"
264,Lipochaeta venosa (=Sci name),E,"$217,602","$901,189,733"
264,Aupaka (Isodendrion hosakae),E,"$217,602","$901,407,335"
265,"Whale, killer (Orcinus orca)Southern Resident DPS",E,"$216,375","$901,623,710"
266,"Milk-vetch, Holmgren (Astragalus holmgreniorum)",E,"$214,650","$901,838,360"
267,"Ambersnail, Kanab (Oxyloma haydeni kanabensis)",E,"$213,599","$902,051,959"
268,Kuahiwi laukahi (Plantago princeps),E,"$212,810","$902,264,769"
269,"Bluegrass, San Bernardino (Poa atropurpurea)",E,"$212,137","$902,476,906"
270,"Daisy, Willamette (Erigeron decumbens var. decumbens)",E,"$207,215","$902,684,121"
271,"Potato-bean, Price's (Apios priceana)",T,"$207,075","$902,891,196"
272,"Sucker, Warner (Catostomus warnerensis)",T,"$206,969","$903,098,165"
273,"Elktoe, Appalachian (Alasmidonta raveneliana)",E,"$206,750","$903,304,915"
274,"Caribou, woodland (Rangifer tarandus caribou)Selkirk Mountain population",E,"$205,777","$903,510,692"
275,"Milk-vetch, Shivwits (Astragalus ampullarioides)",E,"$204,700","$903,715,392"
276,"Woodrat, Key Largo (Neotoma floridana smalli)",E,"$202,891","$903,918,283"
277,"Loosestrife, rough-leaved (Lysimachia asperulaefolia)",E,"$201,747","$904,120,030"
278,Oha (Delissea subcordata),E,"$201,345","$904,321,375"
279,Pamakani (Viola chamissoniana ssp. chamissoniana),E,"$200,345","$904,521,720"
280,Schiedea kaalae (=Sci name),E,"$199,645","$904,721,365"
281,Phyllostegia kaalaensis (=Sci name),E,"$199,145","$904,920,510"
282,"Skink, sand (Neoseps reynoldsi)",T,"$198,715","$905,119,225"
283,Neraudia angulata (=Sci name),E,"$198,545","$905,317,770"
284,Schiedea nuttallii (=Sci name),E,"$198,345","$905,516,115"
285,Haha (Cyanea grimesiana ssp. obatae),E,"$190,345","$905,706,460"
286,Ha`iwale (Cyrtandra dentata),E,"$189,645","$905,896,105"
